WKT,設置場所,利用時間
"POINT (138.1666457 36.5810556)",公衆電話(車いす可),終日利用可
"POINT (138.1672573 36.5788328)",屋外公衆電話,終日利用可
"POINT (138.1600367 36.5796427)",屋外公衆電話,終日利用可
"POINT (138.1576549 36.5772389)",屋外公衆電話,終日利用可
"POINT (138.2434782 36.6702251)",屋外公衆電話,終日利用可
"POINT (138.2371672 36.6690966)",屋外公衆電話,終日利用可
"POINT (138.2457172 36.6804551)",屋内公衆電話,終日利用可
"POINT (138.2112402 36.6243467)",屋外公衆電話,利用不可時間帯あり
"POINT (138.2154275 36.6260696)",屋外公衆電話,終日利用可
"POINT (138.1955928 36.6290866)",公衆電話(車いす可),終日利用可
"POINT (138.1531535 36.5894895)",屋外公衆電話,終日利用可
"POINT (138.1566125 36.5942611)",屋内公衆電話,終日利用可
"POINT (138.1511539 36.5952304)",屋外公衆電話,終日利用可
"POINT (138.1477153 36.5940897)",屋外公衆電話,終日利用可
"POINT (138.1457544 36.5924431)",屋外公衆電話,終日利用可
"POINT (138.1452159 36.5954119)",公衆電話(車いす可),終日利用可
"POINT (138.1533892 36.6013258)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1545694 36.6006023)",屋外公衆電話,終日利用可
"POINT (138.1519838 36.6026006)",屋外公衆電話,終日利用可
"POINT (138.1550296 36.604309)",屋外公衆電話,終日利用可
"POINT (138.1509799 36.6146098)",屋外公衆電話,終日利用可
"POINT (138.1604475 36.6104129)",屋外公衆電話,終日利用可
"POINT (138.1510093 36.5822823)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1562883 36.5713416)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1493781 36.5754549)",屋内公衆電話,利用不可時間帯あり
"POINT (138.2412293 36.6540031)",屋外公衆電話,終日利用可
"POINT (138.2386464 36.6531469)",屋外公衆電話,終日利用可
"POINT (138.2151559 36.6507487)",屋外公衆電話,終日利用可
"POINT (138.0050723 36.6823702)",屋外公衆電話,終日利用可
"POINT (138.19932 36.63621300000001)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1996863 36.6379262)",屋外公衆電話,終日利用可
"POINT (138.1970085 36.6340213)",屋内公衆電話,利用不可時間帯あり
"POINT (138.188144 36.636096)",公衆電話(車いす可),終日利用可
"POINT (138.189811 36.6400217)",屋内公衆電話,利用不可時間帯あり
"POINT (138.189635 36.6427256)",屋外公衆電話,終日利用可
"POINT (138.1898067 36.642803)",公衆電話(車いす可),終日利用可
"POINT (138.1886802 36.6428461)",屋内公衆電話,終日利用可
"POINT (138.1882939 36.6431732)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1884334 36.6441632)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1871781 36.6437457)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1882296 36.6446065)",屋外公衆電話,終日利用可
"POINT (138.1887446 36.6448088)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1864969 36.6449982)",屋内公衆電話,終日利用可
"POINT (138.1867651 36.6454932)",屋外公衆電話,終日利用可
"POINT (138.1859068 36.6428984)",屋外公衆電話,終日利用可
"POINT (138.1853113 36.6471521)",屋外公衆電話,終日利用可
"POINT (138.1822786 36.6441799)",屋内公衆電話,利用不可時間帯あり
"POINT (138.1783927 36.6461168)",屋外公衆電話,終日利用可
"POINT (138.2572153 36.6642374)",屋外公衆電話,終日利用可
"POINT (138.2254197 36.6508181)",屋外公衆電話,終日利用可
"POINT (138.2264669 36.647729)",屋外公衆電話,終日利用可
